t  	||u||(t)    	e(t)
2.5        	0           		0
2.5        	0.004428185786967833           		0
2.5        	0.004428185786967833           		0.00216454103046011
2.5        	0.005654903096394723           		0.00216454103046011
2.5        	0.015429769886529582           		0.00216454103046011
2.5        	0.027731045937118178           		0.00216454103046011
2.5        	0.0347113923893141           		0.00216454103046011
2.5        	0.0347113923893141           		0.033389554642571644
2.5        	0.0347113923893141           		0.033389554642571644
2.5        	0.0347113923893141           		0.033389554642571644
2.5        	0.0347113923893141           		0.033389554642571644
2.6        	0           		0
2.6        	0.006515229006360732           		0
2.6        	0.008780920198962077           		0
2.6        	0.017276029772555535           		0
2.6        	0.027728068299733857           		0
2.6        	0.03424694866877069           		0
2.6        	0.03424694866877069           		0.2548835703827548
2.6        	0.03424694866877069           		0.2548835703827548
2.6        	0.03424694866877069           		0.2548835703827548
2.6        	0.03424694866877069           		0.2548835703827548
2.6        	0.03424694866877069           		0.2548835703827548
2.7        	0           		0
2.7        	0.0040496195696924095           		0
2.7        	0.014074193838885462           		0
2.7        	0.028357400956795488           		0
2.7        	0.03797427369039915           		0
2.7        	0.03797427369039915           		0.47777183788414734
2.7        	0.03797427369039915           		0.47777183788414734
2.7        	0.03797427369039915           		0.47777183788414734
2.7        	0.03797427369039915           		0.47777183788414734
2.7        	0.03797427369039915           		0.47777183788414734
2.7        	0.03797427369039915           		0.47777183788414734
2.8000000000000003        	0           		0
2.8000000000000003        	0.0064728408279395855           		0
2.8000000000000003        	0.01809224290736985           		0
2.8000000000000003        	0.03827337406085119           		0
2.8000000000000003        	0.04387997966976651           		0
2.8000000000000003        	0.04387997966976651           		0.6426987402096269
2.8000000000000003        	0.04387997966976651           		0.6426987402096269
2.8000000000000003        	0.04387997966976651           		0.6426987402096269
2.8000000000000003        	0.04387997966976651           		0.6426987402096269
2.8000000000000003        	0.04387997966976651           		0.6426987402096269
2.8000000000000003        	0.04387997966976651           		0.6426987402096269
2.9000000000000004        	0           		0
2.9000000000000004        	0.011716879613357213           		0
2.9000000000000004        	0.02314485806466159           		0
2.9000000000000004        	0.04403400086750194           		0
2.9000000000000004        	0.04505897817116044           		0
2.9000000000000004        	0.04505897817116044           		0.7449544056728667
2.9000000000000004        	0.04505897817116044           		0.7449544056728667
2.9000000000000004        	0.04505897817116044           		0.7449544056728667
2.9000000000000004        	0.04505897817116044           		0.7449544056728667
2.9000000000000004        	0.04505897817116044           		0.7449544056728667
2.9000000000000004        	0.04505897817116044           		0.7449544056728667
