X[i],Y_real,Y_prediction,Error
1.20138,-0.4457045715408976,-0.44574272857059893,3.815702970133561e-05
1.2014099999999999,-0.4456313770493356,-0.4456695358494801,3.815880014451656e-05
1.20144,-0.4455581790171836,-0.44559633958774925,3.816057056565958e-05
1.20147,-0.4454849774444937,-0.44552313978545754,3.8162340963820984e-05
1.2015,-0.4454117723313182,-0.44544993644265657,3.816411133839015e-05
1.20153,-0.4453385636777069,-0.4453767295593976,3.8165881690699344e-05
1.20156,-0.44526535148371177,-0.4453035191357321,3.816765202030448e-05
1.20159,-0.4451921357493843,-0.44523030517171125,3.816942232692799e-05
1.20162,-0.44511891647477525,-0.44515708766738654,3.817119261129154e-05
1.2016499999999999,-0.44504569365993685,-0.44508386662280924,3.817296287239591e-05
1.2016799999999999,-0.4449724673049199,-0.44501064203803076,3.817473311085173e-05
1.20171,-0.4448992374097753,-0.4449374139131025,3.8176503327158606e-05
1.20174,-0.44482600397455524,-0.4448641822480757,3.817827352048386e-05
1.20177,-0.4447527669993107,-0.4447909470430018,3.818004369110506e-05
1.2018,-0.4446795264840934,-0.444717708297932,3.8181813838578105e-05
1.20183,-0.4446062824289539,-0.44464446601291774,3.818358396384669e-05
1.20186,-0.44453303483394424,-0.44457122018801026,3.8185354066022636e-05
1.20189,-0.44445978369911504,-0.444497970823261,3.818712414593861e-05
1.2019199999999999,-0.44438652902451825,-0.4444247179187211,3.818889420287297e-05
1.2019499999999999,-0.44431327081020455,-0.44435146147444193,3.819066423738082e-05
1.20198,-0.444240009056225,-0.4442782014904748,3.819243424979524e-05
1.20201,-0.44416674376263243,-0.444204937966871,3.81942042385619e-05
1.20204,-0.4440934749294766,-0.44413167090368166,3.8195974205068595e-05
1.20207,-0.44402020255680924,-0.4440584003009582,3.819774414898225e-05
1.2021,-0.4439469266446812,-0.443985126158752,3.8199514070802465e-05
1.20213,-0.4438736471931451,-0.44391184847711423,3.8201283969141464e-05
1.20216,-0.44380036420225105,-0.44383856725609616,3.820305384510947e-05
1.2021899999999999,-0.44372707767205055,-0.44376528249574904,3.8204823698484436e-05
1.20222,-0.4436537876025942,-0.44369199419612415,3.82065935299325e-05
1.20225,-0.4435804939939345,-0.4436187023572727,3.82083633381769e-05
1.20228,-0.44350719684612205,-0.44354540697924594,3.821013312388377e-05
1.20231,-0.4434338961592077,-0.4434721080620951,3.8211902887386184e-05
1.20234,-0.44336059193324384,-0.44339880560587136,3.82136726275184e-05
1.20237,-0.4432872841682808,-0.44332549961062595,3.8215442345168604e-05
1.2024,-0.44321397286436937,-0.44325219007641015,3.821721204078088e-05
1.2024299999999999,-0.44314065802156194,-0.4431788770032752,3.8218981713245004e-05
1.2024599999999999,-0.44306733963990846,-0.44310556039127225,3.8220751363782224e-05
1.20249,-0.4429940177194607,-0.4430322402404525,3.822252099183743e-05
1.20252,-0.4429206922602706,-0.4429589165508671,3.822429059652244e-05
1.20255,-0.4428473632623882,-0.4428855893225674,3.822606017916952e-05
1.20258,-0.4427740307258652,-0.4428122585556044,3.822782973922356e-05
1.20261,-0.44270069465075307,-0.4427389242500295,3.822959927640701e-05
1.20264,-0.4426273550371022,-0.4426655864058937,3.823136879149702e-05
1.20267,-0.44255401188496424,-0.4425922450232483,3.8233138284049506e-05
1.2026999999999999,-0.44248066519439067,-0.44251890010214434,3.8234907753675884e-05
1.2027299999999999,-0.44240731496543206,-0.442445551642633,3.823667720093127e-05
1.20276,-0.4423339611981392,-0.4423721996447655,3.823844662625975e-05
1.20279,-0.4422606038925644,-0.4422988441085929,3.824021602849559e-05
1.20282,-0.4421872430487586,-0.4422254850341664,3.8241985407805323e-05
1.20285,-0.44211387866677215,-0.44215212242153723,3.824375476507713e-05
1.20288,-0.44204051074665607,-0.44207875627075643,3.8245524100366524e-05
1.20291,-0.44196713928846293,-0.4420053865818751,3.82472934121747e-05
1.20294,-0.44189376429224275,-0.4419320133549445,3.82490627017229e-05
1.2029699999999999,-0.4418203857580463,-0.44185863659001556,3.825083196928869e-05
1.2029999999999998,-0.441747003685926,-0.44178525628713955,3.8252601213539794e-05
